RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
359,2026-04-07 18:21:46,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
358,2026-04-07 18:21:44,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
357,2026-04-07 18:21:44,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
356,2026-04-07 18:18:24,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
355,2026-04-07 18:18:23,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
354,2026-04-07 18:18:23,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
353,2026-04-07 18:18:22,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
352,2026-04-07 18:18:20,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
351,2026-04-07 18:18:16,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
350,2026-04-07 18:18:15,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
349,2026-04-07 18:18:14,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
348,2026-04-07 18:18:14,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
347,2026-04-07 18:18:13,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
346,2026-04-07 18:17:57,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
345,2026-04-07 18:16:56,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
344,2026-04-07 18:16:55,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
343,2026-04-07 18:16:53,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
342,2026-04-07 18:16:53,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
341,2026-04-07 18:16:53,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
340,2026-04-07 18:16:50,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
339,2026-04-07 18:16:49,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
338,2026-04-07 18:16:48,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
337,2026-04-07 18:13:37,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
336,2026-04-07 18:13:36,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
335,2026-04-07 18:13:34,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
334,2026-04-07 18:13:33,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
333,2026-04-07 18:13:32,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
332,2026-04-07 18:13:32,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
331,2026-04-07 18:13:31,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
330,2026-04-07 18:13:30,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
329,2026-04-07 18:13:28,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
328,2026-04-07 18:13:27,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
327,2026-04-07 18:13:25,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
326,2026-04-07 18:13:25,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
325,2026-04-07 18:13:25,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
324,2026-04-07 18:13:24,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
323,2026-04-07 18:13:23,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
322,2026-04-07 18:13:22,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
321,2026-04-07 18:13:07,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
320,2026-04-07 18:12:07,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
319,2026-04-07 18:12:04,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
318,2026-04-07 18:12:02,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
317,2026-04-07 18:12:02,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
316,2026-04-07 18:12:02,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
315,2026-04-07 18:12:00,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
314,2026-04-07 18:11:59,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
313,2026-04-07 18:11:58,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
312,2026-04-07 18:08:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
311,2026-04-07 18:08:42,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
310,2026-04-07 18:08:41,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
309,2026-04-07 18:08:41,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
308,2026-04-07 18:08:39,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
307,2026-04-07 18:08:38,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
306,2026-04-07 18:08:38,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
305,2026-04-07 18:08:38,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
304,2026-04-07 18:08:36,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
303,2026-04-07 18:08:36,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
302,2026-04-07 18:08:35,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
301,2026-04-07 18:08:35,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
300,2026-04-07 18:08:33,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
299,2026-04-07 18:08:32,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
298,2026-04-07 18:08:32,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
