sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x43       | CPU1 1V1_VDDQ    | 1.100      | Volts        | ok     | na         | 0.990      | na         | na       | 1.210      | na         | 0.020  | 0.020 
0x44       | CPU1 TBCORE Temp | 59.000     | degrees C    | ok     | na         | na         | na         | 120.000  | na         | na         | 2.000  | 2.000 
0x45       | BCU1 12V0_2 Pwr  | 200.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 200.000 | 200.000
0x46       | BCU1 Temp        | 0.000      | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 2.000  | 2.000 
0x47       | BCU1 VCC_DRMOS   | 3.350      | Volts        | ok     | na         | 3.000      | na         | na       | 3.600      | na         | 0.150  | 0.150 
0x6a       | PS6 VOUT         | 11.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6b       | Power6           | 0.000      | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6c       | PS6 Inlet Temp   | 28.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6d       | PS6 POut         | 0.000      | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6e       | PS6 VIN          | 230.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x6f       | PS6 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x70       | PS6 IOUT         | 0.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x73       | Power5           | 0.000      | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x74       | PS5 Inlet Temp   | 26.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x75       | PS5 POut         | 0.000      | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x76       | PS5 VIN          | 230.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x77       | PS5 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x78       | PS5 IOUT         | 0.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x79       | PS5 VOUT         | 11.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x7c       | PS4 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x7d       | PS4 IOUT         | 31.000     | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x7e       | PS4 VOUT         | 12.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x7f       | Power4           | 420.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x80       | PS4 Inlet Temp   | 25.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x81       | PS4 POut         | 372.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x82       | PS4 VIN          | 230.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x85       | PS2 VIN          | 226.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x86       | PS2 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x87       | PS2 IOUT         | 21.000     | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x88       | PS2 VOUT         | 12.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x89       | PS2 POut         | 276.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x8a       | Power2           | 300.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x8b       | PS2 Inlet Temp   | 24.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x8e       | PS3 POut         | 252.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x8f       | PS3 VIN          | 226.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x90       | PS3 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x91       | PS3 IOUT         | 19.000     | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x92       | PS3 VOUT         | 12.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x93       | Power3           | 276.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x94       | PS3 Inlet Temp   | 24.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x97       | PS1 POut         | 252.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x98       | PS1 VIN          | 228.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x99       | PS1 VOUT         | 12.000     | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
