RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
572,2026-04-20 03:15:58,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
571,2026-04-20 03:15:56,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
570,2026-04-20 03:15:52,PS3 Status,Informational,Power Supply,Asserted,Presence detected
569,2026-04-20 03:15:49,PS1 Status,Informational,Power Supply,Asserted,Presence detected
568,2026-04-20 03:15:46,PS2 Status,Informational,Power Supply,Asserted,Presence detected
567,2026-04-20 03:15:42,PS6 Status,Informational,Power Supply,Asserted,Presence detected
566,2026-04-20 03:15:39,PS4 Status,Informational,Power Supply,Asserted,Presence detected
565,2026-04-20 03:15:36,PS5 Status,Informational,Power Supply,Asserted,Presence detected
564,2026-04-20 03:14:41,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
563,2026-04-20 03:14:37,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
562,2026-04-20 03:14:36,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
561,2026-04-20 03:14:26,Op. Log Full,Informational,Event Logging Disabled,Asserted,Informational
560,2026-04-20 02:53:17,PS6 Status,Informational,Power Supply,Asserted,Power Supply AC lost
559,2026-04-20 02:52:29,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
558,2026-04-20 02:52:29,DIMM000,Informational,Memory,Asserted,Presence detected
557,2026-04-20 02:52:29,DIMM030,Informational,Memory,Asserted,Presence detected
556,2026-04-20 02:52:29,DIMM141,Informational,Memory,Asserted,Presence detected
555,2026-04-20 02:52:28,DIMM041,Informational,Memory,Asserted,Presence detected
554,2026-04-20 02:52:28,DIMM040,Informational,Memory,Asserted,Presence detected
553,2026-04-20 02:52:28,DIMM131,Informational,Memory,Asserted,Presence detected
552,2026-04-20 02:52:28,DIMM130,Informational,Memory,Asserted,Presence detected
551,2026-04-20 02:52:28,DIMM140,Informational,Memory,Asserted,Presence detected
550,2026-04-20 02:52:27,DIMM121,Informational,Memory,Asserted,Presence detected
549,2026-04-20 02:52:27,DIMM150,Informational,Memory,Asserted,Presence detected
548,2026-04-20 02:52:27,DIMM120,Informational,Memory,Asserted,Presence detected
547,2026-04-20 02:52:27,DIMM160,Informational,Memory,Asserted,Presence detected
546,2026-04-20 02:52:26,DIMM171,Informational,Memory,Asserted,Presence detected
545,2026-04-20 02:52:26,DIMM011,Informational,Memory,Asserted,Presence detected
544,2026-04-20 02:52:26,DIMM010,Informational,Memory,Asserted,Presence detected
543,2026-04-20 02:52:25,DIMM001,Informational,Memory,Asserted,Presence detected
542,2026-04-20 02:52:25,DIMM070,Informational,Memory,Asserted,Presence detected
541,2026-04-20 02:52:25,DIMM170,Informational,Memory,Asserted,Presence detected
540,2026-04-20 02:52:25,DIMM061,Informational,Memory,Asserted,Presence detected
539,2026-04-20 02:52:25,DIMM050,Informational,Memory,Asserted,Presence detected
538,2026-04-20 02:52:25,DIMM111,Informational,Memory,Asserted,Presence detected
537,2026-04-20 02:52:24,DIMM060,Informational,Memory,Asserted,Presence detected
536,2026-04-20 02:52:24,DIMM110,Informational,Memory,Asserted,Presence detected
535,2026-04-20 02:52:24,DIMM051,Informational,Memory,Asserted,Presence detected
534,2026-04-20 02:52:24,DIMM101,Informational,Memory,Asserted,Presence detected
533,2026-04-20 02:52:23,DIMM100,Informational,Memory,Asserted,Presence detected
532,2026-04-20 02:52:22,DIMM031,Informational,Memory,Asserted,Presence detected
531,2026-04-20 02:52:20,DIMM151,Informational,Memory,Asserted,Presence detected
530,2026-04-20 02:52:19,DIMM161,Informational,Memory,Asserted,Presence detected
529,2026-04-20 02:52:17,DIMM021,Informational,Memory,Asserted,Presence detected
528,2026-04-20 02:52:17,DIMM020,Informational,Memory,Asserted,Presence detected
527,2026-04-20 02:52:16,DIMM071,Informational,Memory,Asserted,Presence detected
526,2026-04-20 02:51:17,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
525,2026-04-20 02:51:14,DISK0,Informational,Drive Slot / Bay,Asserted,Drive Present
524,2026-04-20 02:51:06,PS3 Status,Informational,Power Supply,Asserted,Presence detected
523,2026-04-20 02:51:03,PS1 Status,Informational,Power Supply,Asserted,Presence detected
522,2026-04-08 01:55:01,PS1 Status,Informational,Power Supply,Asserted,Power Supply AC lost
521,2026-04-20 02:51:01,PS2 Status,Informational,Power Supply,Asserted,Presence detected
520,2026-04-08 01:31:30,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
519,2026-04-20 02:50:58,PS5 Status,Informational,Power Supply,Asserted,Presence detected
518,2026-04-08 01:31:26,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
517,2026-04-20 02:50:54,PS6 Status,Informational,Power Supply,Asserted,Presence detected
516,2026-04-08 01:26:19,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
515,2026-04-20 02:50:50,PS4 Status,Informational,Power Supply,Asserted,Presence detected
514,2026-04-07 22:09:36,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
513,2026-04-20 02:50:17,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
512,2026-04-07 22:09:35,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
511,2026-04-20 02:50:17,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
510,2026-04-07 22:09:19,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
509,2026-04-20 02:49:46,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
508,2026-04-07 22:04:33,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
507,2026-04-20 02:49:38,Op. Log Full,Informational,Event Logging Disabled,Asserted,Informational
506,2026-04-07 22:03:37,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
505,2026-04-07 22:03:36,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
504,2026-04-07 22:03:21,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
503,2026-04-07 22:03:20,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
502,2026-04-07 21:58:29,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
501,2026-04-07 21:57:32,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
500,2026-04-07 21:57:31,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
499,2026-04-07 21:57:17,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
498,2026-04-07 21:57:14,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
497,2026-04-07 21:52:18,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
